Column1,Column2,Column3,Column4,Column5,Column6
Rank/Grade,Army,Navy,Marine Corps,Air Force/Space Force,Total DoD
GENERAL -ADMIRAL,16,9,3,13,41
LT GENERAL -VICE ADMIRAL,48,39,20,50,157
MAJ GENERAL -REAR ADMIRAL(U),105,63,30,96,294
BRIG GENERAL -REAR ADMIRAL(L),129,110,36,134,409
COLONEL -CAPTAIN,"3,903","3,278",659,"3,357","11,197"
LIEUTENANT COL-COMMANDER,"9,139","6,756","1,959","9,946","27,800"
MAJOR -LT COMMANDER,"16,179","10,722","4,004","14,497","45,402"
CAPTAIN -LIEUTENANT,"27,227","18,927","5,952","21,401","73,507"
Ist LIEUTENANT-LIEUTENANT(JG),"12,286","7,196","3,988","8,666","32,136"
2nd LIEUTENANT-ENSIGN,"9,737","6,954","2,818","6,713","26,222"
CHIEF WARRANT OFFICER W-5,543,85,108,0,736
CHIEF WARRANT OFFICER W-4,"1,972",467,309,0,"2,748"
CHIEF WARRANT OFFICER W-3,"3,475",733,594,0,"4,802"
CHIEF WARRANT OFFICER W-2,"5,849",670,944,0,"7,463"
WARRANT OFFICER W-1,"2,835",10,277,0,"3,122"
OFFICER UNKNOWN GRADE,0,25,0,0,25
TOTAL OFFICER,"93,443","56,044","21,701","64,873","236,061"
E-9,"3,384","2,814","1,588","2,652","10,438"
E-8,"10,669","7,322","3,969","4,956","26,916"
E-7,"34,633","22,871","8,709","26,371","92,584"
E-6,"59,289","51,707","13,557","44,186","168,739"
E-5,"70,580","72,621","22,725","61,600","227,526"
E-4,"119,664","54,967","31,993","61,063","267,687"
E-3,"54,932","47,709","45,167","48,421","196,229"
E-2,"21,749","16,859","19,721","8,143","66,472"
E-1,"13,664","10,309","10,548","8,266","42,787"
ENLISTED UNKNOWN GRADE,0,0,0,0,0
TOTAL ENLISTED,"388,564","287,179","157,977","265,658","1,099,378"
CADETS-MIDSHIPMEN,"4,483","4,454",0,"4,103","13,040"
GRAND TOTAL,"486,490","347,677","179,678","334,634","1,348,479"
